kode,uraian,penjelasan,konteks,keywords,domain,activity,level,embedding_text
000,umum,data umum atau informasi dasar yang bersifat universal dan dapat diaplikasikan pada berbagai keperluan administratif,dokumen atau komunikasi yang tidak spesifik pada satu bidang teknis tertentu,"umum, data, atau, informasi, dasar, yang, bersifat, universal, dan, dapat",umum,umum,primer,000 umum data umum atau informasi dasar yang bersifat universal dan dapat diaplikasikan pada berbagai keperluan administratif dokumen atau komunikasi yang tidak spesifik pada satu bidang teknis tertentu umum data atau informasi dasar yang bersifat universal dan dapat umum umum
000.1,ketatausahaan dan kerumahtanggaan,klasifikasi bidang ketatausahaan dan kerumahtanggaan meliputi pengelolaan administrasi perkantoran,inventarisasi barang,"ketatausahaan, dan, kerumahtanggaan, klasifikasi, bidang, meliputi, pengelolaan, administrasi, perkantoran, inventarisasi",umum,umum,sekunder,000.1 ketatausahaan dan kerumahtanggaan klasifikasi bidang ketatausahaan dan kerumahtanggaan meliputi pengelolaan administrasi perkantoran inventarisasi barang ketatausahaan dan kerumahtanggaan klasifikasi bidang meliputi pengelolaan administrasi perkantoran inventarisasi umum umum
000.1.1,telekomunikasi,Klasifikasi terkait telekomunikasi.,Digunakan untuk dokumen mengenai telekomunikasi.,telekomunikasi,umum,umum,tersier,000.1.1 telekomunikasi klasifikasi terkait telekomunikasi. digunakan untuk dokumen mengenai telekomunikasi. telekomunikasi umum umum
000.1.2,perjalanan dinas dalam negeri,Klasifikasi terkait perjalanan dinas dalam negeri.,Digunakan untuk dokumen mengenai perjalanan dinas dalam negeri.,"perjalanan, dinas, dalam, negeri",umum,umum,tersier,000.1.2 perjalanan dinas dalam negeri klasifikasi terkait perjalanan dinas dalam negeri. digunakan untuk dokumen mengenai perjalanan dinas dalam negeri. perjalanan dinas dalam negeri umum umum
000.1.2.1,perjalanan dinas kepala daerah,Klasifikasi terkait perjalanan dinas kepala daerah.,Digunakan untuk dokumen mengenai perjalanan dinas kepala daerah.,"perjalanan, dinas, kepala, daerah",umum,umum,kuartier,000.1.2.1 perjalanan dinas kepala daerah klasifikasi terkait perjalanan dinas kepala daerah. digunakan untuk dokumen mengenai perjalanan dinas kepala daerah. perjalanan dinas kepala daerah umum umum
000.1.2.2,perjalanan dinas dprd,Klasifikasi terkait perjalanan dinas dprd.,Digunakan untuk dokumen mengenai perjalanan dinas dprd.,"perjalanan, dinas, dprd",umum,umum,kuartier,000.1.2.2 perjalanan dinas dprd klasifikasi terkait perjalanan dinas dprd. digunakan untuk dokumen mengenai perjalanan dinas dprd. perjalanan dinas dprd umum umum
000.1.2.3,perjalanan dinas pegawai,Klasifikasi terkait perjalanan dinas pegawai.,Digunakan untuk dokumen mengenai perjalanan dinas pegawai.,"perjalanan, dinas, pegawai",kepegawaian,umum,kuartier,000.1.2.3 perjalanan dinas pegawai klasifikasi terkait perjalanan dinas pegawai. digunakan untuk dokumen mengenai perjalanan dinas pegawai. perjalanan dinas pegawai kepegawaian umum
000.1.3,perjalanan dinas luar negeri,Klasifikasi terkait perjalanan dinas luar negeri.,Digunakan untuk dokumen mengenai perjalanan dinas luar negeri.,"perjalanan, dinas, luar, negeri",umum,umum,tersier,000.1.3 perjalanan dinas luar negeri klasifikasi terkait perjalanan dinas luar negeri. digunakan untuk dokumen mengenai perjalanan dinas luar negeri. perjalanan dinas luar negeri umum umum
000.1.3.1,perjalanan dinas kepala daerah,Klasifikasi terkait perjalanan dinas kepala daerah.,Digunakan untuk dokumen mengenai perjalanan dinas kepala daerah.,"perjalanan, dinas, kepala, daerah",umum,umum,kuartier,000.1.3.1 perjalanan dinas kepala daerah klasifikasi terkait perjalanan dinas kepala daerah. digunakan untuk dokumen mengenai perjalanan dinas kepala daerah. perjalanan dinas kepala daerah umum umum
000.1.3.2,perjalanan dinas dprd,Klasifikasi terkait perjalanan dinas dprd.,Digunakan untuk dokumen mengenai perjalanan dinas dprd.,"perjalanan, dinas, dprd",umum,umum,kuartier,000.1.3.2 perjalanan dinas dprd klasifikasi terkait perjalanan dinas dprd. digunakan untuk dokumen mengenai perjalanan dinas dprd. perjalanan dinas dprd umum umum
000.1.3.3,perjalanan dinas pegawai,Klasifikasi terkait perjalanan dinas pegawai.,Digunakan untuk dokumen mengenai perjalanan dinas pegawai.,"perjalanan, dinas, pegawai",kepegawaian,umum,kuartier,000.1.3.3 perjalanan dinas pegawai klasifikasi terkait perjalanan dinas pegawai. digunakan untuk dokumen mengenai perjalanan dinas pegawai. perjalanan dinas pegawai kepegawaian umum
